"id","Username","First Name","Last Name","Email","Role Name","Created At","Updated At"
"16068102971794","admin","Syful","Islam","admin@gmail.com","Super Admin","7 Dec, 2020","6 Jan, 2021"
"16079434143854","sajid404","Sajid","Rahman","sajid@gen.us","N/A","14 Dec, 2020","14 Dec, 2020"
"16079459876031","safdg","dfgdf","fdgfd","rohim@gen.us","Editor","14 Dec, 2020","31 Dec, 2020"
"16094074272985","asajid404","Arvo","Virus","arvo@gmail.com","N/A","31 Dec, 2020","31 Dec, 2020"
"16097366433676","roman440","Roman","Empire","roman@gen.us","N/A","4 Jan, 2021","4 Jan, 2021"
"16097446402338","robi1511","Mazma","Zombia","zombi@gen.uss","N/A","4 Jan, 2021","4 Jan, 2021"
"16097516538939","cena","Jhon","Cena","cena@gen.us","fxcbvc","4 Jan, 2021","4 Jan, 2021"
"16103638295089","category","Category","List","category@category.co","Category Admin","11 Jan, 2021","11 Jan, 2021"
"16103669148368","article","Article","Admin","article@gen.us","Article Admin","11 Jan, 2021","11 Jan, 2021"
"16103679951848","faq","Faq","Admin","faq@gen.us","Faq Admin","11 Jan, 2021","11 Jan, 2021"
"16103684864703","user","User","Admin","user@gen.us","User Admin","11 Jan, 2021","11 Jan, 2021"
"16104253777745","quizform","QuizForm","Admin","quizform@gen.us","QuizForm Admin","12 Jan, 2021","12 Jan, 2021"
"16106073676972","quizfom","fdgdfg","fgdf","dfgdf@gmail.com","QuizForm Admin","14 Jan, 2021","14 Jan, 2021"
